source,task_id_a,task_id_b,dataset_a,dataset_b,same_dataset,task_family_a,task_family_b,char_tfidf_cosine,same_variable_normalized_template,question_a,question_b
dare_bench,nitishraj_song-popularity-k-folds_class::v2,yasserh_song-popularity-dataset_reg::v2,nitishraj_song-popularity-k-folds_class,yasserh_song-popularity-dataset_reg,False,classification,regression,0.981306,False,"Please complete the task as described below without asking any follow-up questions or requesting additional information. Your task is to achieve good performance while balancing training time and accuracy in the sandbox. You are provided with a processed dataset, along with a metadata file `metadata.txt` that describes the original dataset and each of its columns. Load data in `train_v2.parquet` as your full training set. Once that's done, using only CPU resources, train a classification model on this training data. Then use `val_v2.parquet` to generate a prediction for `song_popularity` for each `row_id`. The model should output a file named `prediction.csv`. The file must contain the column row_id (as provided in the original `val_v2.parquet` and the corresponding predictions. Each prediction should be aligned with its row_id so that performance can be computed correctly.","Please complete the task as described below without asking any follow-up questions or requesting additional information. Your task is to achieve good performance while balancing training time and accuracy in the sandbox. You are provided with a processed dataset, along with a metadata file `metadata.txt` that describes the original dataset and each of its columns. Load data in `train_v2.parquet` as your full training set. Once that's done, using only CPU resources, train a regression model on this training data. Then use `val_v2.parquet` to generate a prediction for `song_popularity` for each `row_id`. The model should output a file named `prediction.csv`. The file must contain the column row_id (as provided in the original `val_v2.parquet` and the corresponding predictions. Each prediction should be aligned with its row_id so that performance can be computed correctly."
dare_bench,amiroft_tehran-renting_reg::v2,janiobachmann_bank-marketing-dataset_class::v2,amiroft_tehran-renting_reg,janiobachmann_bank-marketing-dataset_class,False,regression,classification,0.977533,False,"Please complete the task as described below without asking any follow-up questions or requesting additional information. Your task is to achieve good performance while balancing training time and accuracy in the sandbox. You are provided with a processed dataset, along with a metadata file `metadata.txt` that describes the original dataset and each of its columns. Load data in `train_v2.parquet` as your full training set. Once that's done, using only CPU resources, train a regression model on this training data. Then use `val_v2.parquet` to generate a prediction for `deposit` for each `row_id`. The model should output a file named `prediction.csv`. The file must contain the column row_id (as provided in the original `val_v2.parquet` and the corresponding predictions. Each prediction should be aligned with its row_id so that performance can be computed correctly.","Please complete the task as described below without asking any follow-up questions or requesting additional information. Your task is to achieve good performance while balancing training time and accuracy in the sandbox. You are provided with a processed dataset, along with a metadata file `metadata.txt` that describes the original dataset and each of its columns. Load data in `train_v2.parquet` as your full training set. Once that's done, using only CPU resources, train a classification model on this training data. Then use `val_v2.parquet` to generate a prediction for `deposit` for each `row_id`. The model should output a file named `prediction.csv`. The file must contain the column row_id (as provided in the original `val_v2.parquet` and the corresponding predictions. Each prediction should be aligned with its row_id so that performance can be computed correctly."
dare_bench,alirezamehrad_red-and-white-wine-quality_reg::v2,yasserh_wine-quality-dataset_class::v2,alirezamehrad_red-and-white-wine-quality_reg,yasserh_wine-quality-dataset_class,False,regression,classification,0.976579,False,"Please complete the task as described below without asking any follow-up questions or requesting additional information. Your task is to achieve good performance while balancing training time and accuracy in the sandbox. You are provided with a processed dataset, along with a metadata file `metadata.txt` that describes the original dataset and each of its columns. Load data in `train_v2.sqlite` as your full training set. Once that's done, using only CPU resources, train a regression model on this training data. Then use `val_v2.sqlite` to generate a prediction for `quality` for each `row_id`. The model should output a file named `prediction.csv`. The file must contain the column row_id (as provided in the original `val_v2.sqlite` and the corresponding predictions. Each prediction should be aligned with its row_id so that performance can be computed correctly.","Please complete the task as described below without asking any follow-up questions or requesting additional information. Your task is to achieve good performance while balancing training time and accuracy in the sandbox. You are provided with a processed dataset, along with a metadata file `metadata.txt` that describes the original dataset and each of its columns. Load data in `train_v2.sqlite` as your full training set. Once that's done, using only CPU resources, train a classification model on this training data. Then use `val_v2.sqlite` to generate a prediction for `quality` for each `row_id`. The model should output a file named `prediction.csv`. The file must contain the column row_id (as provided in the original `val_v2.sqlite` and the corresponding predictions. Each prediction should be aligned with its row_id so that performance can be computed correctly."
dare_bench,artemcheremuhin_student-practice-performance_reg::v2,mohdnazuan_harumanis-mango-physical-measurement_class::v2,artemcheremuhin_student-practice-performance_reg,mohdnazuan_harumanis-mango-physical-measurement_class,False,regression,classification,0.976147,False,"Please complete the task as described below without asking any follow-up questions or requesting additional information. Your task is to achieve good performance while balancing training time and accuracy in the sandbox. You are provided with a processed dataset, along with a metadata file `metadata.txt` that describes the original dataset and each of its columns. Load data in `train_v2.parquet` as your full training set. Once that's done, using only CPU resources, train a regression model on this training data. Then use `val_v2.parquet` to generate a prediction for `grade` for each `row_id`. The model should output a file named `prediction.csv`. The file must contain the column row_id (as provided in the original `val_v2.parquet` and the corresponding predictions. Each prediction should be aligned with its row_id so that performance can be computed correctly.","Please complete the task as described below without asking any follow-up questions or requesting additional information. Your task is to achieve good performance while balancing training time and accuracy in the sandbox. You are provided with a processed dataset, along with a metadata file `metadata.txt` that describes the original dataset and each of its columns. Load data in `train_v2.parquet` as your full training set. Once that's done, using only CPU resources, train a classification model on this training data. Then use `val_v2.parquet` to generate a prediction for `Grade` for each `row_id`. The model should output a file named `prediction.csv`. The file must contain the column row_id (as provided in the original `val_v2.parquet` and the corresponding predictions. Each prediction should be aligned with its row_id so that performance can be computed correctly."
dare_bench,ulrikthygepedersen_more-movie-ratings_reg::v2,farhan999_tokopedia-product-reviews_class::v2,ulrikthygepedersen_more-movie-ratings_reg,farhan999_tokopedia-product-reviews_class,False,regression,classification,0.975355,False,"Please complete the task as described below without asking any follow-up questions or requesting additional information. Your task is to achieve good performance while balancing training time and accuracy in the sandbox. You are provided with a processed dataset, along with a metadata file `metadata.txt` that describes the original dataset and each of its columns. Load data in `train_v2.sqlite` as your full training set. Once that's done, using only CPU resources, train a regression model on this training data. Then use `val_v2.sqlite` to generate a prediction for `rating` for each `row_id`. The model should output a file named `prediction.csv`. The file must contain the column row_id (as provided in the original `val_v2.sqlite` and the corresponding predictions. Each prediction should be aligned with its row_id so that performance can be computed correctly.","Please complete the task as described below without asking any follow-up questions or requesting additional information. Your task is to achieve good performance while balancing training time and accuracy in the sandbox. You are provided with a processed dataset, along with a metadata file `metadata.txt` that describes the original dataset and each of its columns. Load data in `train_v2.sqlite` as your full training set. Once that's done, using only CPU resources, train a classification model on this training data. Then use `val_v2.sqlite` to generate a prediction for `rating` for each `row_id`. The model should output a file named `prediction.csv`. The file must contain the column row_id (as provided in the original `val_v2.sqlite` and the corresponding predictions. Each prediction should be aligned with its row_id so that performance can be computed correctly."
dare_bench,codekalimi_heart-disease-example_class::v2,vbmokin_phosphate-prediction-in-river-water_reg::v2,codekalimi_heart-disease-example_class,vbmokin_phosphate-prediction-in-river-water_reg,False,classification,regression,0.974865,False,"Please complete the task as described below without asking any follow-up questions or requesting additional information. Your task is to achieve good performance while balancing training time and accuracy in the sandbox. You are provided with a processed dataset, along with a metadata file `metadata.txt` that describes the original dataset and each of its columns. Load data in `train_v2.parquet` as your full training set. Once that's done, using only CPU resources, train a classification model on this training data. Then use `val_v2.parquet` to generate a prediction for `target` for each `row_id`. The model should output a file named `prediction.csv`. The file must contain the column row_id (as provided in the original `val_v2.parquet` and the corresponding predictions. Each prediction should be aligned with its row_id so that performance can be computed correctly.","Please complete the task as described below without asking any follow-up questions or requesting additional information. Your task is to achieve good performance while balancing training time and accuracy in the sandbox. You are provided with a processed dataset, along with a metadata file `metadata.txt` that describes the original dataset and each of its columns. Load data in `train_v2.parquet` as your full training set. Once that's done, using only CPU resources, train a regression model on this training data. Then use `val_v2.parquet` to generate a prediction for `target` for each `row_id`. The model should output a file named `prediction.csv`. The file must contain the column row_id (as provided in the original `val_v2.parquet` and the corresponding predictions. Each prediction should be aligned with its row_id so that performance can be computed correctly."
dare_bench,bimalmann_stocks-price-prediction_ts::v2,alexkhr_nvidia-corp-stock-price-from-2019-01-01_ts::v2,bimalmann_stocks-price-prediction_ts,alexkhr_nvidia-corp-stock-price-from-2019-01-01_ts,False,time_series_analysis,time_series_analysis,0.963394,True,"Please complete the task as described below without asking any follow-up questions or requesting additional information. Your task is to achieve good performance while balancing time and accuracy in the sandbox environment. You are provided with a processed dataset, along with a metadata file `metadata.txt` that describes the original dataset and each of its columns. Load the file `train.csv` as your complete training data. This file contains the raw, non-resampled time series data. Once that's done, using only CPU resources, train time series analysis model(s) on the training data. Then, based on the file `val_v2.csv`, forecast the target column `Close`. You may generate predictions for a continuous time range, but your predictions must at least cover the earliest and latest timestamps that appear in `val_v2.csv` for each unique combination of identifiers present in `val_v2.csv`. Your output file must be named `prediction.csv` and must contain all identifier columns together with the predicted values for the target column `Close`. Also note that the validation file may contain non-contiguous and unsorted time points, meaning the time indices are not guaranteed to be consecutive. Each prediction must be aligned with its identifiers so that performance can be computed correctly.","Please complete the task as described below without asking any follow-up questions or requesting additional information. Your task is to achieve good performance while balancing time and accuracy in the sandbox environment. You are provided with a processed dataset, along with a metadata file `metadata.txt` that describes the original dataset and each of its columns. Load the file `train.csv` as your complete training data. This file contains the raw, non-resampled time series data. Once that's done, using only CPU resources, train time series analysis model(s) on the training data. Then, based on the file `val_v2.csv`, forecast the target column `Adj Close`. You may generate predictions for a continuous time range, but your predictions must at least cover the earliest and latest timestamps that appear in `val_v2.csv` for each unique combination of identifiers present in `val_v2.csv`. Your output file must be named `prediction.csv` and must contain all identifier columns together with the predicted values for the target column `Adj Close`. Also note that the validation file may contain non-contiguous and unsorted time points, meaning the time indices are not guaranteed to be consecutive. Each prediction must be aligned with its identifiers so that performance can be computed correctly."
dare_bench,dheerajkr1a1a_chennai-tomato-retail-prices-analysis_ts::v2,robertritz_ub-market-prices_ts::v2,dheerajkr1a1a_chennai-tomato-retail-prices-analysis_ts,robertritz_ub-market-prices_ts,False,time_series_analysis,time_series_analysis,0.953483,True,"Please complete the task as described below without asking any follow-up questions or requesting additional information. Your task is to achieve good performance while balancing time and accuracy in the sandbox environment. You are provided with a processed dataset, along with a metadata file `metadata.txt` that describes the original dataset and each of its columns. Load the file `train.csv` as your complete training data. This file contains the raw, non-resampled time series data. Once that's done, using only CPU resources, train time series analysis model(s) on the training data. Then, based on the file `val_v2.csv`, forecast the target column `Modal Price`. You may generate predictions for a continuous time range, but your predictions must at least cover the earliest and latest timestamps that appear in `val_v2.csv` for each unique combination of identifiers present in `val_v2.csv`. Your output file must be named `prediction.csv` and must contain all identifier columns together with the predicted values for the target column `Modal Price`. Also note that the validation file may contain non-contiguous and unsorted time points, meaning the time indices are not guaranteed to be consecutive. Each prediction must be aligned with its identifiers so that performance can be computed correctly.","Please complete the task as described below without asking any follow-up questions or requesting additional information. Your task is to achieve good performance while balancing time and accuracy in the sandbox environment. You are provided with a processed dataset, along with a metadata file `metadata.txt` that describes the original dataset and each of its columns. Load the file `train.csv` as your complete training data. This file contains the raw, non-resampled time series data. Once that's done, using only CPU resources, train time series analysis model(s) on the training data. Then, based on the file `val_v2.csv`, forecast the target column `price`. You may generate predictions for a continuous time range, but your predictions must at least cover the earliest and latest timestamps that appear in `val_v2.csv` for each unique combination of identifiers present in `val_v2.csv`. Your output file must be named `prediction.csv` and must contain all identifier columns together with the predicted values for the target column `price`. Also note that the validation file may contain non-contiguous and unsorted time points, meaning the time indices are not guaranteed to be consecutive. Each prediction must be aligned with its identifiers so that performance can be computed correctly."
dare_bench,kenjee_z-unlocked-challenge-1-data-visualization_ts::v2,robertritz_ub-market-prices_ts::v2,kenjee_z-unlocked-challenge-1-data-visualization_ts,robertritz_ub-market-prices_ts,False,time_series_analysis,time_series_analysis,0.953035,True,"Please complete the task as described below without asking any follow-up questions or requesting additional information. Your task is to achieve good performance while balancing time and accuracy in the sandbox environment. You are provided with a processed dataset, along with a metadata file `metadata.txt` that describes the original dataset and each of its columns. Load the file `train.csv` as your complete training data. This file contains the raw, non-resampled time series data. Once that's done, using only CPU resources, train time series analysis model(s) on the training data. Then, based on the file `val_v2.csv`, forecast the target column `Value`. You may generate predictions for a continuous time range, but your predictions must at least cover the earliest and latest timestamps that appear in `val_v2.csv` for each unique combination of identifiers present in `val_v2.csv`. Your output file must be named `prediction.csv` and must contain all identifier columns together with the predicted values for the target column `Value`. Also note that the validation file may contain non-contiguous and unsorted time points, meaning the time indices are not guaranteed to be consecutive. Each prediction must be aligned with its identifiers so that performance can be computed correctly.","Please complete the task as described below without asking any follow-up questions or requesting additional information. Your task is to achieve good performance while balancing time and accuracy in the sandbox environment. You are provided with a processed dataset, along with a metadata file `metadata.txt` that describes the original dataset and each of its columns. Load the file `train.csv` as your complete training data. This file contains the raw, non-resampled time series data. Once that's done, using only CPU resources, train time series analysis model(s) on the training data. Then, based on the file `val_v2.csv`, forecast the target column `price`. You may generate predictions for a continuous time range, but your predictions must at least cover the earliest and latest timestamps that appear in `val_v2.csv` for each unique combination of identifiers present in `val_v2.csv`. Your output file must be named `prediction.csv` and must contain all identifier columns together with the predicted values for the target column `price`. Also note that the validation file may contain non-contiguous and unsorted time points, meaning the time indices are not guaranteed to be consecutive. Each prediction must be aligned with its identifiers so that performance can be computed correctly."
dare_bench,alexkhr_nvidia-corp-stock-price-from-2019-01-01_ts::v2,tr1gg3rtrash_time-series-top-100-crypto-currency-dataset_ts::v2,alexkhr_nvidia-corp-stock-price-from-2019-01-01_ts,tr1gg3rtrash_time-series-top-100-crypto-currency-dataset_ts,False,time_series_analysis,time_series_analysis,0.952906,True,"Please complete the task as described below without asking any follow-up questions or requesting additional information. Your task is to achieve good performance while balancing time and accuracy in the sandbox environment. You are provided with a processed dataset, along with a metadata file `metadata.txt` that describes the original dataset and each of its columns. Load the file `train.csv` as your complete training data. This file contains the raw, non-resampled time series data. Once that's done, using only CPU resources, train time series analysis model(s) on the training data. Then, based on the file `val_v2.csv`, forecast the target column `Adj Close`. You may generate predictions for a continuous time range, but your predictions must at least cover the earliest and latest timestamps that appear in `val_v2.csv` for each unique combination of identifiers present in `val_v2.csv`. Your output file must be named `prediction.csv` and must contain all identifier columns together with the predicted values for the target column `Adj Close`. Also note that the validation file may contain non-contiguous and unsorted time points, meaning the time indices are not guaranteed to be consecutive. Each prediction must be aligned with its identifiers so that performance can be computed correctly.","Please complete the task as described below without asking any follow-up questions or requesting additional information. Your task is to achieve good performance while balancing time and accuracy in the sandbox environment. You are provided with a processed dataset, along with a metadata file `metadata.txt` that describes the original dataset and each of its columns. Load the file `train.csv` as your complete training data. This file contains the raw, non-resampled time series data. Once that's done, using only CPU resources, train time series analysis model(s) on the training data. Then, based on the file `val_v2.csv`, forecast the target column `adjclose`. You may generate predictions for a continuous time range, but your predictions must at least cover the earliest and latest timestamps that appear in `val_v2.csv` for each unique combination of identifiers present in `val_v2.csv`. Your output file must be named `prediction.csv` and must contain all identifier columns together with the predicted values for the target column `adjclose`. Also note that the validation file may contain non-contiguous and unsorted time points, meaning the time indices are not guaranteed to be consecutive. Each prediction must be aligned with its identifiers so that performance can be computed correctly."
