task_id,source,primary_task,confidence,unresolved,adjudicated,question
0000_856_856349_qa_4,data_agent_rl,fact_verification,0.7,False,False,Which method (TF-IDF or simple word frequency) does the analysis explicitly conclude to produce a more informative representation of Trump's tweet content based on the dataset?
0001_173_1173665_qa_5,data_agent_rl,descriptive_statistics,0.7,False,False,"Which feature, 'Balance' or 'EstimatedSalary', has a higher standard deviation after normalization?"
0001_232_1232019_qa_4,data_agent_rl,temporal_analysis,0.7,False,False,Have the seasonal temperature patterns in the Philippines shifted over time according to the year-by-year analysis?
0001_239_1239559_qa_4,data_agent_rl,arithmetic_calculation,0.7,False,False,How much does the average food pinching efficiency decrease from the optimal length (240mm) to the next length tested (270mm)?
0001_445_1445988_qa_2,data_agent_rl,temporal_analysis,0.7,False,False,What is the length of the longest unbeaten streak (wins + draws) achieved by PSG during the Qatari investment period?
0001_466_1466571_qa_1,data_agent_rl,record_retrieval,0.7,False,False,Which intent category has 100% police involvement based on the dataset analysis?
0001_488_1488441_qa_4,data_agent_rl,temporal_analysis,0.7,False,False,On which hour of the day is there a consistent drop in taxi demand observed across all weekdays according to the weekly demand analysis?
0001_628_1628992_qa_4,data_agent_rl,feature_engineering,0.7,False,False,What is the number of features used in the XGBoost model after preprocessing?
0001_638_1638152_qa_5,data_agent_rl,regression_modeling,0.7,False,False,"According to the final gradient boosting model's feature importance analysis, which feature has the highest impact on apartment prices?"
0001_770_1770623_qa_1,data_agent_rl,arithmetic_calculation,0.7,False,False,What is the ratio of the upper bound of the 95% confidence interval for veteran suicide rates to the upper bound for civilian suicide rates in 2005?
0010_860_10860955_qa_1,data_agent_rl,feature_engineering,0.7,False,False,Which four features were identified as the most important based on the Random Forest feature importance analysis?
0013_067_13067540_qa_5,data_agent_rl,feature_engineering,0.7,False,False,Which two features were discarded from the final model due to high correlation with other features?
0025_485_25485079_qa_3,data_agent_rl,comparison,0.7,False,False,"Based on the scatter plots, which pair of features provides the most distinct separation between the three species classes in the dataset?"
0034_748_34748003_qa_3,data_agent_rl,record_retrieval,0.7,False,False,Which primary Pokémon types have no Legendary Pokémon as shown in the stacked bar plot and count plots?
0035_350_35350224_qa_5,data_agent_rl,aggregation,0.7,False,False,What is the maximum number of items in a frequent itemset identified by the Apriori algorithm in this dataset?
0039_156_39156457_qa_3,data_agent_rl,statistical_inference,0.7,False,False,What is the highest p-value observed in any Augmented Dickey-Fuller test during the stationarity analysis?
0046_955_46955725_qa_3,data_agent_rl,ranking,0.7,False,False,Which early game event shows the second-highest impact on determining the winner according to the mean analysis of correlated events?
0051_802_51802195_qa_3,data_agent_rl,anomaly_detection,0.7,False,False,Which mean-based feature shows the largest discrepancy between its minimum value and left whisker threshold in the outlier analysis?
0057_503_57503702_qa_1,data_agent_rl,unresolved,0.6,True,False,What is the optimal number of clusters determined by the Elbow method for the K-Means clustering model based on the RFM features?
0063_793_63793650_qa_5,data_agent_rl,temporal_analysis,0.7,False,False,What is the initial value of the 12-period exponentially weighted moving average (EWMA) for the passenger data?
0063_931_63931182_qa_5,data_agent_rl,aggregation,0.7,False,False,"Which cluster in the K-Means model has the lowest average annual income, and what is its value in k$?"
0064_330_64330026_qa_2,data_agent_rl,time_series_forecasting,0.7,False,False,"What is the order (p, d, q) of the ARIMA model selected by the auto_arima function for the temperature time series?"
0065_594_65594972_qa_5,data_agent_rl,unresolved,0.6,True,False,"When presented with two identical images from the same individual, how does the model predict their similarity?"
0066_757_66757922_qa_3,data_agent_rl,descriptive_statistics,0.7,False,False,"Which three features in the dataset have high standard deviations relative to their mean values, as identified in the analysis as potentially affecting model performance?"
0066_820_66820736_qa_5,data_agent_rl,regression_modeling,0.7,False,False,What is the root mean squared error (RMSE) of the model's predictions?
0068_060_68060356_qa_4,data_agent_rl,regression_modeling,0.7,False,False,Which number of components yields the best performance for the partial least squares (PLS) regression model according to the cross-validation results?
0071_835_71835908_qa_4,data_agent_rl,unresolved,0.6,True,False,Which three features are visualized in the 3D scatter plot to analyze their combined relationship with price_range?
0076_177_76177455_qa_1,data_agent_rl,ranking,0.7,False,False,Which year of establishment had the highest sales volume according to the countplot in the exploratory data analysis section?
0095_690_95690898_qa_5,data_agent_rl,arithmetic_calculation,0.7,False,False,What is the Kulczynski score for the association rule 'mineral water' → 'ground beef'?
0102_350_102350231_qa_5,data_agent_rl,feature_engineering,0.6,False,False,"Which feature among CRIM, ZN, and INDUS has the highest variance inflation factor (VIF) according to the multicollinearity analysis?"
0110_893_110893794_qa_1,data_agent_rl,temporal_analysis,0.7,False,False,What are the two peak time ranges for household global active power consumption based on hourly analysis in the dataset?
0120_574_120574465_qa_2,data_agent_rl,classification_modeling,0.7,False,False,What is the overall test accuracy of the model on the 200-sample test set after training completion?
0123_606_123606886_qa_3,data_agent_rl,data_preprocessing,0.7,False,False,"What was the original maximum age value identified as an outlier, and what value was it replaced with during preprocessing?"
0127_585_127585527_qa_4,data_agent_rl,unresolved,0.8,True,True,What is the adjusted significance threshold (alpha) used for the Bonferroni correction in the A/B testing analysis?
0128_655_128655611_qa_4,data_agent_rl,record_retrieval,0.7,False,False,"What is the top recommended movie similar to ""The Shawshank Redemption"" using the overview-based similarity approach?"
0131_072_131072256_qa_3,data_agent_rl,data_quality_assessment,0.7,False,False,Which alphabetic character corresponding to a label is missing in the classes mapping?
0137_338_137338171_qa_1,data_agent_rl,descriptive_statistics,0.7,False,False,What is the mean of the sample means of the displacement values after applying the Central Limit Theorem with 30 samples of size 30?
